Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
2008,2,21,14,16,2.7,,,NEVADA:  WELLS,41.153,-114.867,7,6,8,,,,,3,1,,2,,,720,3,,,,,3,1,,2,,,720,3
2008,4,18,9,36,59.1,,,ILLINOIS:  WEST SALEM,38.452,-87.886,14,5.3,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2008,4,26,6,40,10.6,,,NEVADA:  FALLON,39.52,-119.93,1,5,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2008,7,29,18,42,15.7,,,CALIFORNIA:  LOS ANGELES,33.953,-117.761,15,5.4,6,,,,,8,1,,1,,,,1,,,,,8,1,,1,,,,1
2009,12,30,18,48,57.7,,,MEXICO:  MEXICALI,32.437,-115.165,9,5.9,,,,,,,,,1,,,,,,,,,,,,1,,,,2
2010,1,10,0,27,39.3,,,CALIFORNIA:  OFF COAST NORTHERN,40.652,-124.692,29,6.5,,,,,,30,1,21.8,3,,,,,,,,,30,1,21.8,3,,,,
2010,4,4,22,40,43.1,,,MEXICO:  BAJA CALIFORNIA,32.297,-115.278,4,7.2,,2,1,,,233,3,1150,4,,,,3,2,1,,,233,3,1150,4,,,,3
2010,6,15,4,26,58.4,,,CALIFORNIA:  OCOTILLO,32.7,-115.921,5,5.8,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2010,6,23,17,41,41,,,"CANADA:  QUEBEC:  VAL-DES-BOIS, GRACEFIELD",45.88,-75.48,22,5.2,6,,,,,,,,1,,,,,,,,,,,,1,,,,
2010,6,30,7,22,27.6,,,MEXICO:  SAN ANDRES HUAXPALTEPEC,16.396,-97.782,20,6.2,,1,1,,,,,,,,,,,1,1,,,,,,,,,,
2010,12,19,5,5,30,,,OKLAHOMA:  LUTHER,35.827,-96.772,5,3.7,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
2011,2,17,22,47,21.5,,,COLORADO:  PAONIA,38.947,-107.497,1,3.1,,,,,,,,,1,,,,,,,,,,,,1,,,,
2011,6,24,3,9,39.4,5432,,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.05,-171.836,52,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8,23,5,46,18.2,,,COLORADO:  SEGUNDO,37.063,-104.701,4,5.4,7,,,,,,,,2,,,,,,,,,,,,2,,,,
2011,8,23,17,51,4.5,,,"VIRGINIA:  LOUISA COUNTY, MARYLAND, WASHINGTON D.C.",37.936,-77.933,6,5.8,7,,,,,,,200,4,,,600,3,,,,,,,200,4,,,600,3
2011,9,2,10,55,53.5,5438,,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.171,-171.708,32,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
2011,11,6,3,53,10,,,OKLAHOMA:  SPARKS,35.532,-96.765,5,5.7,8,,,,,2,1,,2,14,1,,3,,,,,2,1,,2,14,1,,3
2011,11,8,2,46,57,,,"OKLAHOMA:  SPARKS, PRAGUE",35.531,-96.788,5,5,,,,,,,,,1,,,,2,,,,,,,,1,,,,2
2011,12,11,1,47,25.9,,,MEXICO:  GUERRERO,17.844,-99.963,54,6.4,,2,1,,,5,1,,2,,,70,2,2,1,,,5,1,,2,,,70,2
2012,3,20,18,2,47.4,5447,,"MEXICO:  GUERRERO, OAXACA",16.493,-98.231,20,7.4,8,2,1,,,13,1,600,4,800,3,,,2,1,,,13,1,600,4,800,3,,
2012,10,28,3,4,8.9,5467,,CANADA:  QUEEN CHARLOTTE ISLANDS,52.788,-132.101,14,7.7,,,,,,,,,1,,,,1,1,1,,,,,,1,,,,1
2013,1,5,8,58,19.3,5472,,ALASKA:  SOUTHEASTERN,55.393,-134.652,10,7.5,,,,,,,,,,,,,,,,,,,,,1,,,,
2013,4,18,0,50,38.5,,,TEXAS:  WEST,31.817,-97.088,0,2.1,,14,1,,,200,3,100,4,50,1,,,14,1,,,200,3,100,4,50,1,,
2013,4,22,1,16,32,5752,,MEXICO:  MICHOACAN: LAZARO CARDENAS,18.081,-102.182,30,6,6,,,,,,,,,,,,,,,,,,,,,,,,
2013,8,21,12,38,29.7,,,"MEXICO:  SAN MARCOS, ACAPULCO",16.878,-99.498,21,6.2,8,,,,,1,1,,1,,,,1,,,,,1,1,,1,,,,1
2014,2,9,2,16,2,,,OKLAHOMA:  GUTHRIE,35.893,-97.292,5,4.1,5,,,,,,,,1,,,,,,,,,,,,1,,,,
2014,3,29,4,9,42.2,,,"CALIFORNIA:  LA HABRA, BREA, FULLERTON",33.933,-117.916,5,5.1,6,,,,,,1,10.8,3,,,20,1,,,,,,1,10.8,3,,,20,1
2014,4,18,14,27,24.9,5563,,MEXICO:  GUERRERO; MEXICO CITY,17.397,-100.972,24,7.2,8,,,,,,,,1,,,127,2,,,,,,,,1,,,127,2
